<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.06.03	11:18:00	4453.61	4455.16	4453.55	4454.31	173	0	26
2026.06.03	11:19:00	4454.30	4454.33	4452.76	4453.92	216	0	26
2026.06.03	11:20:00	4453.97	4455.22	4453.12	4455.21	199	0	27
2026.06.03	11:21:00	4455.24	4455.36	4453.19	4453.28	179	0	27
2026.06.03	11:22:00	4453.29	4453.62	4451.61	4453.43	235	0	27
2026.06.03	11:23:00	4453.45	4454.05	4450.72	4450.88	248	0	26
2026.06.03	11:24:00	4450.98	4451.99	4450.69	4451.47	232	0	26
2026.06.03	11:25:00	4451.51	4452.70	4450.68	4452.56	251	0	24
2026.06.03	11:26:00	4452.60	4453.78	4451.52	4453.19	233	0	24
2026.06.03	11:27:00	4453.16	4455.25	4453.04	4455.04	240	0	27
2026.06.03	11:28:00	4455.06	4456.78	4454.69	4456.44	234	0	26
2026.06.03	11:29:00	4456.49	4457.57	4455.42	4457.43	284	0	27
2026.06.03	11:30:00	4457.44	4457.77	4456.64	4457.67	213	0	27
2026.06.03	11:31:00	4457.64	4458.49	4456.71	4456.81	308	0	27
2026.06.03	11:32:00	4456.82	4457.43	4455.68	4455.87	269	0	27
2026.06.03	11:33:00	4455.84	4455.84	4454.79	4455.46	225	0	28
2026.06.03	11:34:00	4455.49	4456.92	4455.47	4456.57	205	0	28
2026.06.03	11:35:00	4456.60	4456.94	4455.57	4456.12	157	0	26
2026.06.03	11:36:00	4456.19	4456.42	4454.39	4455.78	189	0	27
2026.06.03	11:37:00	4455.81	4456.69	4455.66	4456.26	176	0	26
2026.06.03	11:38:00	4456.30	4457.01	4455.31	4456.50	144	0	26
2026.06.03	11:39:00	4456.51	4457.42	4455.53	4455.54	170	0	26
2026.06.03	11:40:00	4455.54	4456.81	4455.50	4456.66	179	0	26
2026.06.03	11:41:00	4456.83	4458.35	4456.63	4458.13	154	0	26
2026.06.03	11:42:00	4458.10	4458.77	4457.57	4458.32	179	0	24
2026.06.03	11:43:00	4458.35	4458.35	4456.09	4456.09	210	0	24
2026.06.03	11:44:00	4456.09	4456.48	4455.38	4456.42	202	0	26
2026.06.03	11:45:00	4456.39	4457.70	4454.42	4454.87	226	0	24
2026.06.03	11:46:00	4454.90	4456.16	4454.43	4455.98	205	0	24
2026.06.03	11:47:00	4456.06	4457.23	4455.43	4456.35	214	0	26
2026.06.03	11:48:00	4456.42	4456.58	4454.03	4454.40	213	0	26
2026.06.03	11:49:00	4454.40	4454.95	4454.05	4454.25	153	0	26
2026.06.03	11:50:00	4454.22	4454.92	4453.77	4453.81	128	0	26
2026.06.03	11:51:00	4453.79	4454.40	4442.95	4443.41	294	0	24
2026.06.03	11:52:00	4443.58	4447.51	4443.58	4446.10	359	0	26
2026.06.03	11:53:00	4446.15	4447.40	4445.33	4446.95	228	0	24
2026.06.03	11:54:00	4446.93	4448.15	4444.60	4444.77	252	0	26
2026.06.03	11:55:00	4444.74	4445.24	4443.16	4443.74	273	0	26
2026.06.03	11:56:00	4443.78	4444.53	4442.41	4443.97	246	0	26
2026.06.03	11:57:00	4443.90	4445.69	4442.87	4443.83	271	0	26
2026.06.03	11:58:00	4443.82	4443.82	4440.17	4442.56	314	0	24
2026.06.03	11:59:00	4442.68	4443.92	4442.11	4443.92	227	0	26
2026.06.03	12:00:00	4443.75	4444.74	4441.74	4444.29	289	0	24
2026.06.03	12:01:00	4444.33	4446.40	4443.98	4445.78	235	0	24
2026.06.03	12:02:00	4445.75	4447.12	4445.44	4446.49	244	0	26
2026.06.03	12:03:00	4446.31	4451.61	4446.15	4451.26	248	0	26
